StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q56,p1,p2_1,p3,p4_1,p5,p6,p7_1,p8,p9_1,p10,c1,c2_1,c3,c4_1,c5,c6,c7_1,c8,c9_1,c10,a1,a2_1,a3,a4_1,a5,a6,a7_1,a8,a9_1,a10,b1,b2_1,b3,b4_1,b5,b6,b7_1,b8,b9_1,b10
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please very briefly give your name and role at Motional,"Step 2:

Which of the following best fit your current beliefs about this AV?",Provide a confidence rating for this. - How confident are you in this choice?,"Step 3:

If there was a traffic jam ahead blocking this AV's path, do you think it would have kept moving forward?",Provide a confidence rating for this prediction. - How confident are you in this prediction?,"In your own words, and in as much detail as possible, please explain your reasoning for this prediction in Step 3.","Step 5:

After seeing the explanation, which of the following best fit your current beliefs about this AV?",Now provide a confidence rating for this. - How confident are you in this prediction?,"Step 6:

After seeing the explanation, if there was a traffic jam ahead blocking this AV's path, do you think it would have kept moving forward?",Now provide a confidence rating for this prediction. - How confident are you in this prediction?,"In your own words, and in as much detail as possible, please explain your reasoning for this prediction in Step 6.","Step 2:

Which of the following best fit your current beliefs about this AV?",Now provide a confidence rating for this prediction. - How confident are you in this prediction?,"Step 3:
If this AV was slightly to the left, do you think it still would have kept moving forwards?",Now provide a confidence rating for this prediction. - How confident are you in this prediction?,"In your own words, and in as much detail as possible, please explain your reasoning for this prediction in Step 3.","Step 5:

After seeing the explanation, which of the following best fit your current beliefs about this AV?",Now provide a confidence rating for this prediction. - How confident are you in this prediction?,"Step 6:

After seeing the explanation, if this AV was slightly to the left, do you think it still would have kept moving forwards?",Now provide a confidence rating for this prediction. - How confident are you in this prediction?,"In your own words, and in as much detail as possible, please explain your reasoning for this prediction in Step 6.","Step 2:

Which of the following best fit your current beliefs about this AV?",Now provide a confidence rating for this prediction. - How confident are you in this prediction?,"Step 3:

If the traffic cone was not in front of this AV in the second clip, do you think this AV would have kept moving forwards?",Now provide a confidence rating for this prediction. - How confident are you in this prediction?,"In your own words, and in as much detail as possible, please explain your reasoning for this prediction in Step 3.","Step 5:

After seeing the explanation, which of the following best fit your current beliefs about this AV?",Now provide a confidence rating for this prediction. - How confident are you in this prediction?,"Step 6:
After seeing the explanation, if the traffic cone was not in front of this AV in the second clip, do you think this AV would have kept moving forwards?",Now provide a confidence rating for this prediction. - How confident are you in this prediction?,"In your own words, and in as much detail as possible, please explain your reasoning for this prediction in Step 6.","Step 2:

Which of the following best fit your current beliefs about this AV?",Now provide a confidence rating for this decision. - How confident are you in this choice?,"Step 3:

Based on on this interaction, do you trust that this AV will reliably slow down for cyclists in similar situations in the future?",Now provide a confidence rating for this prediction. - How confident are you in this prediction?,"In your own words, and in as much detail as possible, please explain your reasoning for this prediction in Step 3.","Step 5:

After seeing the explanation, which of the following best fit your current beliefs about this AV?",Now provide a confidence rating for this decision. - How confident are you in this prediction?,"Step 6:

After seeing the explanation, based on on this interaction, do you trust that this AV will reliably slow down for cyclists in similar situations in the future?",Now provide a confidence rating for this prediction. - How confident are you in this prediction?,"In your own words, and in as much detail as possible, please explain your reasoning for this prediction in Step 6."
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID56_TEXT""}","{""ImportId"":""QID149""}","{""ImportId"":""QID151_1""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36_1""}","{""ImportId"":""QID147_TEXT""}","{""ImportId"":""QID152""}","{""ImportId"":""QID69_1""}","{""ImportId"":""QID68""}","{""ImportId"":""QID58_1""}","{""ImportId"":""QID34_TEXT""}","{""ImportId"":""QID162""}","{""ImportId"":""QID163_1""}","{""ImportId"":""QID77""}","{""ImportId"":""QID78_1""}","{""ImportId"":""QID79_TEXT""}","{""ImportId"":""QID165""}","{""ImportId"":""QID166_1""}","{""ImportId"":""QID80""}","{""ImportId"":""QID81_1""}","{""ImportId"":""QID82_TEXT""}","{""ImportId"":""QID171""}","{""ImportId"":""QID172_1""}","{""ImportId"":""QID53""}","{""ImportId"":""QID84_1""}","{""ImportId"":""QID85_TEXT""}","{""ImportId"":""QID173""}","{""ImportId"":""QID87_1""}","{""ImportId"":""QID86""}","{""ImportId"":""QID174_1""}","{""ImportId"":""QID180_TEXT""}","{""ImportId"":""QID153""}","{""ImportId"":""QID154_1""}","{""ImportId"":""QID71""}","{""ImportId"":""QID72_1""}","{""ImportId"":""QID73_TEXT""}","{""ImportId"":""QID157""}","{""ImportId"":""QID156_1""}","{""ImportId"":""QID74""}","{""ImportId"":""QID75_1""}","{""ImportId"":""QID76_TEXT""}"
10/31/25 13:33,10/31/25 13:49,0,*******,100,964,1,10/31/25 13:49,R_7FVTq8bbYSC2He3,*******,*******,*******,*******,*******,*******,anonymous,EN,Raveen Ilaalagan ,1,6,2,6,Based on the video it looks like the car is able to drive straight without issue. I'm certain an AV that is on public roads would have been able to detect vehicles ahead and slow down accordingly ,1,7,1,7,Having reasonings present makes me more confident that the AV will be able to detect and stop for vehicles. The intentions are displayed and it's selection is clear ,2,4,1,5,"It looked like the white honda accord was sticking out a little bit. Unsure of the reasoning, but I don't think it had anything to do with the pedestrian zone ",2,7,1,7,"The reasoning is that we are too close to the actor vehicle, so in theory by being more left we should not be as close",1,5,1,6,"Looks like the cone is right infront of the AV, thereby obstructing the path",2,5,1,5,"This one was a little bit confusing, as per the reasoning it is saying we are approaching a stopped vehicle.  But in the camera feed there is a cone. ",1,6,2,4,Not able to make that determination based on just one video ,1,4,2,5,If we are stopping for the cyclist why was it not chosen
11/7/25 9:09,11/7/25 9:57,0,*******,100,2859,1,11/7/25 9:57,R_6iQfKXSYObGAHN1,*******,*******,*******,*******,*******,*******,anonymous,EN,Tyler Drainville - Associate Test Specialist ,1,5,2,6,"Based on my experience in our AVs the vehicle would have continued on its straight trajectory unless it was met with obstacles preventing it from doing so, such as another actor vehicle encroaching in our lane or if the lane became blocked by traffic I would expect the car to stop. ",1,7,2,6,The green indicator confirmed my believe that the AV was driving straight due to the detection of a straight road. There was no detection of a stopped vehicle ahead of us leading me to believe that the AV is at least capable of seeing a stopped vehicle ahead. Based on my experience with our cars I would be very confident that AV would stop if it did encounter stopped vehicles up ahead. I am almost always reluctant to put extremely confident because these are test vehicles at the end of the day. ,2,6,1,5,"The pedestrian pick up zone is much further ahead than where the AV stopped and there were no pedestrians present in the video leading me to believe that it is much more likely that the AV was reacting to the parked vehicles on the right that were sticking out a little farther than normal causing the AV to get stuck. Im very confident that this is the case. I am a little less confident that if the AV was slightly to the left it would have kept on going. I assume this is the case, but I have no way of seeing what Av was anticipating the parked vehicle to do. Slightly to the left is also pretty vague and subjective. If the AV was an inch to the left it may have had a similar reaction, but 8 inches to the left the Av probably would have continued on its intended path.  ",2,7,1,5,"After watching the video it is clear that the AV stopped due to being to close to the parked vehicle. Again I can not say with certainty that the AV would have continued on its path if it was slightly to the left without seeing the viewer app, but I would assume that if the Av was slightly to the left it would have continued on its original path. ",1,7,1,7,The AV clearly stopped due to the cone in front of it. I have no reason to believe that the AV would have stopped otherwise. None of the cars on the right were sticking out too far and the road was completely clear. ,1,7,1,7,It is clear in the video that the AV was perceiving the cone as a parked vehicle and it came to a stop because of that. If the cone was moved the Av would no longer have detected a stopped vehicle and would have continued on its intended path. I can say this with close to absolute certainty. ,1,7,1,6,"The AV clearly stopped because it was detecting the cyclist. I am confident that the Av would stop in a similar situation but due to my own paranoia I would not put extremely confident because the stakes are very high when dealing with cyclists and I never assume that the vehicle is going to do what it is supposed to do in these situations. That being said, in nearly all of the interactions like this that I have experienced, the AV would come to a stop or slow down for the cyclist. ",1,6,1,6,"I am slightly less confident in my original answer due to the cyclist indicator not lighting up, however I still believe the AV stopped due to the cyclist but maybe categorized the cyclist as a generic object. I still think the AV would slow down or stop if this situation was replicated in the future.  "
11/7/25 13:59,11/7/25 14:27,0,*******,100,1676,1,11/7/25 14:27,R_7Lbxnw9DN1OcMAy,*******,*******,*******,*******,*******,*******,anonymous,EN,"Ernest Centeno, Associate Test Specialist  ",1,7,2,7,"The AV is programmed to follow a pre-defined map, so it will follow a straight line regardless. Also the AV is equipped with multiple sensors including cameras that detect Vehicles in case of a traffic jam  ",1,7,1,7,"The Video now shows that the AV is detecting the pre-defined straight road, it is following the mapped area successfully. 
As for the traffic Jam, yes, it would have reacted to a traffic jam, although the ""approaching stopped Vehicle"" concept did not light up due to how far the lead vehicle is, it will still react adequately if the situation arises. ",2,6,1,6,"When the AV was making that left turn, it clearly shows reaction the the parked cars that were sticking out a little into the planned path, causing it to stop as it did. 
If the AV was slightly more to the left, I believe it would be able to proceed with no issues.",2,7,1,7,"Yes, this video confirms that the AV was clearly reacting to the parked vehicle sticking out a little into the planned path causing it to react the way it did.
Yes, if the AV was slightly to the left, it should  proceed just fine!",1,7,1,7,"The AV is clearly reacting to the obstacle(traffic cone) in front of it, causing it to brake to avoid colliding with the obstacle.
If the Cone was not in front of the AV on the second clip, the AV would've proceeded safely to it's goal!",1,7,1,7,"The Clip now proves that the AV was clearly reacting to the obstacle(traffic cone) causing it to brake to avoid collision with the obstacle.
Yes if the traffic cone was not on the AV's planned path, it would have proceeded safely to it's goal.",1,7,1,7,"The AV detected the bike creeping into the crosswalk, which the AV reacted by braking and oscillating to the left a little to avoid contact with the cyclist.
Yes, I believe that the AV will slow down or avoid getting close to cyclists in the near future.",1,7,1,7,"Although the cyclist or pedestrian concepts did not light up on the clip, it still shows reaction to the Cyclist creeping into the crosswalk, the AV safely stopped and oscillated a little to the left to avoid interaction with the cyclist.
Yes I believe the AV will Safely react to cyclists in the future and will even have more trust in the AV."
11/6/25 17:00,11/7/25 14:45,0,*******,100,78299,1,11/7/25 14:45,R_6NxNHnDQeN5Oy9A,*******,*******,*******,*******,*******,*******,anonymous,EN,"Jesse, Test operator",1,7,2,7,"The path ahead of the Av is clear, so there is no object being detected by the stack, which would be the only logical reason the AV does not stop. ",1,7,1,7,"The lidars and camera's would detect the objects in the AV's path, resulting in stopping. ",2,5,1,6,"The white vehicle protruding can cause stuttering and in the more severe cases, stopping the AV altogether. ",2,7,1,7,In my experience an overly sensitive tuned software build on the AV's stack can cause it to be too conservative. In this case it was the white vehicle slightly protruding adjacent the AV's generated trajectory path.  ,1,7,1,7,The cone is within visual of the cameras which makes me believe it is clearly in sight of the sensors as well as the slight oscillation I saw before the AV came to a stop. ,1,7,1,7,The 2nd clip confirms that in this instance the path ahead of AV is clear aside from the cone. The distance the cone is from the AV also aims towards that is what is being detected to stop the AV. ,1,7,2,5,"Since the AV started to slow down rather late, I do not believe that the behavior would be the same if the cyclist was moving or closer stopped within the crosswalk. I would be more confident if I saw reaction sooner. ",1,5,2,6,"Since the AV did not explicitly detect a cyclist, it is hard to determine exactly what it was detecting the cyclist as. So with that I am not confident the AV would behave the same at the next interaction. "
11/7/25 14:52,11/7/25 15:23,0,*******,100,1885,1,11/7/25 15:23,R_6wS7FkZpxJlSvhT,*******,*******,*******,*******,*******,*******,anonymous,EN,Ryan Headd - Vehicle Operator,1,6,2,7,The AV's are designed to be safe vehicle so stopping for a traffic jam should be something it is programmed to do,1,7,2,7,Same explanation as previous ,2,7,2,5,The parked vehicle was encroaching on the lane the AV is supposed to drive in. Just because the AV is a little to the left doesn't change the lane mapping.  Maybe is the mapped lane was a little to the left then the AV could proceed,2,7,2,6,Same explanation as previous,1,7,1,5,I think the cone is what stopped the AV in the second clip and it might keep moving if the cone was moved. However since there are parked vehicles on the side my confidence isn't high because the AV might stop for one of these vehicles,1,5,1,4,My confidence is a little less that the AV would have kept moving if the cone was moved since it says it was approaching a stopped vehicle.  I don't believe it hallucinated a vehicle in front of it however.  I believe it doesn't have the ability appropriately identify the cone for what it is,1,6,1,5,I believe the AV would repeat this action since it did it already however I am not that confident with seeing only one example,1,4,1,4,I believe the AV would repeat this performance because it is obviously detecting something that is making it stop even though it may not be classifying it as a cyclist or pedestrian
11/7/25 11:37,11/7/25 15:30,0,*******,100,13973,1,11/7/25 15:30,R_7FLDwT7GGT5ZNzL,*******,*******,*******,*******,*******,*******,anonymous,EN,"Jose Cruz, Associate Vehicle Test Specialist",2,5,2,6,I feel that the av will detect the traffic jam ahead and safely come to stop.  It might tried to go around the traffic jam if it finds a safe route around it.  ,2,5,2,5,"At first, AV kept moving forward because it saw a clear road or path ahead. I believe AV will slow down once the actor in front comes to a stop, unless actor speeds up again and there is a safe distance between it.  ",2,6,1,6,"I feel that the av came to a stop due to the parked car that was partially on the path.  I believed that the av predicted that the car was about to drive off so it proceeded to stop and after realizing that it was stationary it probably continue with the route.  I know there was a passenger pickup and drop off area, but there were no pedestrians standing there so it couldn't react to that scenario.",2,6,1,6,"I believed the AV predicted that the car parked on the right was about to take off since it was creeping in front of it.  AV safely came to a stop and after realizing it was a stationary car, it probably proceeded to complete the route.The passenger pickup and drop off are was empty and it was still a few feet away from av to trigger some type of reaction. ",1,6,1,6,"AV is capable of detecting generic objects that are a certain height, that's why I am sure av stop for the cone.  If the cone was not in front of av, then it would have continue with the route with no issues.  Even if the cone was on the left or right of av it slows down to predict if it can safely circumvent around it.  ",1,6,1,6,"I feel that in this case, the cone was misclassified as a car and that's why the av came to stop to avoid colliding with it.  Even though it was a misclassified, the reaction to the cone was accurate and safe.   ",1,6,2,5,"I am not sure if the av will come to a stop every time there is pedestrian interaction.  There are cases where the pedestrian is waiting on the edge of the sidewalk and the av doesn't react to them.  The pedestrian, in this case the cyclist was moving forward and on the edge of the crosswalk.  Some pedestrian interactions are really tricky to predict in my opinion.  ",1,6,2,5,"I am not sure if the av will come to a stop every time there is pedestrian interaction.  There are cases where the pedestrian is waiting on the edge of the sidewalk and the av doesn't react to them.  The pedestrian, in this case the cyclist was moving forward and on the edge of the crosswalk.  Some pedestrian interactions are really tricky to predict in my opinion.  "
11/7/25 16:52,11/7/25 21:09,0,*******,100,15417,1,11/7/25 21:09,R_7uxtACjmZv7zgYh,*******,*******,*******,*******,*******,*******,anonymous,EN,Tanya - Test Specialist ,1,7,2,7,"The AV is set to follow its designated route while its surroundings is being detected. If there was a traffic jam or obstacle blocking the AV's path, the AV will respond accordingly and come to a complete stop",1,7,2,7,The video confirms the AV is following its designated path as mentioned in the previous video. ,2,7,1,5,"It appears that the AV is detecting the parked vehicle on the right slightly encroaching , causing the AV to OSC and then stop. I believe if the AV was positioned to the left it could go through but it would still hesitate (maybe brake tap) , as it looks like it is taking a conservative approach.",2,7,1,6,"After video confirmation, I still stand by my previous answer. The AV is definitely responding to the parked vehicle and would proceed through if the AV was slightly positioned to the left but it would possibly hesitate with a brake tap or decel before proceeding ",1,7,1,7,"In the first clip, the cone appears to be positioned front right of the AV. In the second clip, it seems the cone has been moved front center of the AV, which causes the AV to come to a complete stop.",2,5,1,7,"After watching the video , it seems the AV was reacting to a false positive vehicle cuboid. This might explain why it stopped at a slight distance from the cone. If the cone hadn’t been there, the AV would likely have proceeded through",1,7,1,7,"The AV detected the cyclist, and as the cyclist began encroaching into the crosswalk, the AV decelerated and OSC'd to the left, then coming to a complete stop to yield. I believe the AV will slow down for cyclists in similar situations, but it's not guaranteed that the yield will be smooth, as it may involve discomfort braking or an OSC.",1,6,1,7,"Even though the concept wasn't shown in the video, I still believe it was the AV's behavior that triggered that maneuver when the cyclist started encroaching into the crosswalk. "
11/6/25 17:04,11/12/25 11:41,0,*******,100,498987,1,11/12/25 11:41,R_6atQz83gtj6z4Xf,*******,*******,*******,*******,*******,*******,anonymous,EN,Test Specialist,1,7,1,7,"When it says the AV, ""would have kept moving forward"" does it mean that if there was a front actor would the AV would have kept going and hit the actor or kept going and stopped? In this particular scenario I am confident the the actor would have kept moving forward with traffic jam and stopped if necessary.",1,7,1,7,"Now with the concepts in place I am extremely confident that the AV would have moved forward. Since the ""approaching stopped vehicle"" concept is not active since there was no other actor in its proximity. I am confident that the actor in the distance ahead of it would have caused the AV to stop in a traffic jam situation. And the proceeded to move forward in a traffic jam. ",2,7,1,7,The reason I am confident the AV would have moved forward in this scenario is due to the other parked cars the AV passed. There were three other parked cars before it approached the white car. And the AV passed those cars with relatively ease. As soon as it approached the white car sticking out further than the others it proceeded to stop.  Which in turn if placed slightly to the left would have caused AV to pass by.,2,7,1,7,"With the concepts activated, the AV perceived that it was ""very close to vehicle.""  Since the ""approaching stopped vehicle"" concept wasn't activated. That means if the AV was placed slightly to the left, it would have moved forward as planned. ",1,7,1,5,"I am a bit confident that the AV would have moved forward in the second clip if the cone was in not in front. Also, with the first clip since the cone was slightly to the right but still in front causing AV to stop. So if the cone was completely removed from the front then I would be more confident the AV would have proceeded to move forward.",2,7,2,6,"Grabbing context and concepts from both scenarios, the AV wouldn't have moved forward if the cone wasn't directly in front of AV. With the first video it none of the concepts turned green and the cone was slightly off its path. Yet the AV seemed detected something was there but stopped for no reason.  In second video it perceives the cone as another vehicle. But just like my first response to this particular clip, if the cone was completely removed and had nothing in front of AV. Then I would still be confident it would move forward, but if going solely based off of these two clips. Then I am a bit confident that the AV wouldn't have moved forward due to the concepts displayed.",1,7,1,5,In this particular scenario the AV slows down while approaching the cyclist. Yet as the cyclist goes back and forth while staying in place. The AV looks like it creeps forward but ultimately comes to a stop. ,2,5,2,6,"With seeing the concepts in place, I am confident the AV would not have slowed down for cyclists in this particular situation. As the cyclist was going back and forth and teetering the edge of what it looks like to be the AV's path. Even when the cyclist was partially on the road the AV did not detect anything. So the AV seemed to stop for no reason. "
