participant name,CLOSE before,CLOSE after,ASV before,ASV after,BIKE before,BIKE after
asdfs,asfsdf,asdfasdfa,asfsdf,asdfas,ewrw,asdfds
63e40cde6487028afe7bec5d,It would have noticed extra space to move forward.,The added space to the left would have been noticed to move forward.,No cone would give the indication to keep going.,I believe with would have kept going with no obstacles.,"Based on the video,it braked rather aggressively suggesting that it would stop when it noticed a person.",It will stop when noticing a pedestrian or cyclist on the road.
5e29cc3230cf9d03580c34bf,"The car does seem hesitant to continue forward, and given that it is aware of the presence of this pedestrian drop off zone, it seems reasonable that its obviously hesitant movements in the video are a result of it being cautious around this area and any people that might be present out of view.","The concepts for the AV only appear to be concerned with the cars nearby, and it does align with the fact that parked cars are very close on the right side. I would still hope that the emergency brakes would kick in for physical objects or people on the left, but I do believe that it would base its movement from here primary on positioning relative to the cars only.","While it's possible it could have halluicinated a vehicle in front of it, it seems reasonable given the certainty of its action and how far back it stopped that it was reacting specifically to the cones it clearly saw.","The AV was clearly only concerned with nearby vehicles regarding its actions, so it does seem it only thought there was a stopped vehicle when choosing to stop. That said, it could have become confused because of the cone, so it's possible that removing the cone would also cause it to no longer stop or think a car was there.","The AV clearly slowed down far too late, and even then, it continued moving slightly as the cyclist seemed hesitant to react until they knew what the AV would do. The AV seemed almost more like it was reacting to the crosswalk lines at the last minute than the cyclist. It should have stopped much sooner and been completely still until the cyclist was out of view.","The AV does not detect any cyclists or pedestrians despite one clearly being visible in the footage, and this backs up its movements and actions in the video. It waits far too long to attempt a stop, and only seems to do so because of the immediate surroundings, maybe through sensors detecting the cyclist nearby as a physical object."
6436271f6ff817660ede859b,Seemed like a pause before continuing to pickup zone,AV listens to prompt. Stops and is going to wait for next prompt,"AV seems to have been tested successfully previously, and is equipped to navigate safely.","AV is well-built, and follows prompts closely.",AV sensed bike and slowed before stopping. Built well,"Plenty of prompts, and worked well with prompts"
5f171e9023611c038f0bd539,The AI is scanning for pedestrians and thus is reacting to the pedestrian pick-up/drop-off.,The AI is reacting to the parked vehicles and slowed because of how close the parked vehicles are to the route being traveled. ,I believe that the car stopped due to the cone because it was an unidentified object in the straight-line road. ,The AI believed that the cone was a stopped vehicle and thus came to a complete stop to avoid an incident. ,"The cyclist was not IN the crosswalk, so I believe the AI detected the cyclist on the edge of the road and that is the reason that it slowed down - thus it would react similarly in the future. ",The cyclist is detected and that is what triggers the car to brake and slow down. I believe that based on the AI's recognition of this cyclist that it would recognize cyclists in the future in similar circumstances. Although the AI is not distinguishing between a cyclist and/or a pedestrian on foot - it is still scanning for cyclists. 
589f4b4b4d580c0001e0a155,"there was no discernible reason for the car to stop other than the parked cars, so it is very sensitive to potential obstructions which is why I think it would stop for anything, including the pick up area if it had been closer to that area",being further away would not have triggered the proximity to other car alert so I think it would not have stopped,There was no other reason for the car to stop other than the cone. ,"The indicator light said that the car detected a stopped car up ahead when there was none, so regardless of the cone, it seems the car would have stopped regardless. ",there was no other reason for the car to stop as the biker was not in front of the car so the automatic brake would not be triggered,Neither of the alerts turned green so I'm not really sure why the car made the stop. 
609550ebd2fd05085720eca0,"I'm really not sure about the car's intent here. It slowed down, but not sure why it would on the right of the road. Maybe it's just for caution? This is why I selected neutral confidence for both, just not sure without the information.","I increased my confidence and my answer. I think it's due to the parked cars one the right, not the pickup zone. This is because it was detecting cars too close on the right. This is what made me update my confidence and viewpoints.",I feel like hallucinating something like this seems extremely unlikely to me. So I think it actually stopped because of the cone.,"I'm not super confident with this one, even with the extra context. This is why I only selected a little above neutral. I am surprised it hallucinated a car, so I think the cone didn't have anything to do with why It stopped.","It seemed to have picked up on the fact that the cyclist was there. However, it did not seem to adequately respond to the situation. The biker ultimately had to backup. Which made me feel like it was not functioning properly and wouldn't reliably slow down in the future.","I feel the same about the situation but even more confident in my views. The car wasn't picking up a biker or pedestrian, so I'm assuming it was the automatic breaking. This feels like something I can be confident about given the information I received on this video."
65fdff7df5fa7446524f9ed0,"There were no obstacles directly in front of the vehicle, thus there was no reason for it to stop, other than stopping for the pedestrian pick up and drop off zone on the left.","I'm not at all confident because it appears the AV could have continued straight without contacting or getting too close to the vehicles on the right. In the video, the message indicated that the AV stopped because ""Very close to other vehicles"". However, in my opinion, it was not very close. It could have safely continued forward by just adjusting its path slightly to the left. Maybe this is a software bug.",I believe there are two possibilities for why the AV stopped. The first possibility is that the AV could have reached its target destination. The second possibility is that it stopped short of the cone to avoid hitting the cone.,"The AV stopped because it detected an object, in this case, the cone, in front of it. In the video, the message displayed that it detected a vehicle which was incorrect.  The important thing is that it detected an obstacle blocking its path, and it stopped.","In my opinion, the AV should've stopped earlier, and allowed the cyclist to cross the road. However, the AV pulled very close to the road crossing, which I think somewhat confused the cyclist. The cyclist was probably thinking. Is this vehicle going to stop, or is it going to continue forward? Thus, based on the action, I'm not very confident that the AV will reliably slow down for cyclist in similar situations in the future.","In the second video, the AV never correctly detected the cyclist. I am not sure why the AV stopped. And thus, I am not confident that the AV will reliably slow down, and/or stop, for cyclist in similar situations in the future. Is it possible the AV detected the cyclist, but the software did not display green? Thus, a SW bug?"
5c376ea0eecc440001c58889,I don't think it would stop for parked cars. It must have detected the pick up zone. The cars weren't in its way.,It said it stopped because the other cars were close so that must be why. I think yes it would keep going if it were more to the left.,It stopped before the cone and there was nothing else there. It must have been the reason and if it wasn't there it would keep going.,I think it thought there was a stopped vehicle but it was really a cone. I think it acted appropriately but for the wrong reason. If the cone wasn't there it would keep going.,It stopped right before the cyclist so I assume that's the reason. If it did it this time I imagine it does it every time.,It didn't indicate there was a cyclist so it's hard to know. It may have just stopped because it detected something but didn't know it was a cyclist. I think it would stop in the future though.
682c3f62f2680e9a67130379,I am certain that it would have stopped because it approached a drop off zone,"The AV stopped because the vehicles on the right were close and the turning angle maybe smaller and if it continues, then it would have either caused an accident or scratched vehicles on the right.","If the traffic cone was not on the road, meaning that AV would not have detected it and it would have kept moving without stopping.",It would have kept moving because it detected a vehicle ahead and it was only a traffic cone.,The AV detected the cyclist and had to slow down and for that reason I believe that in the future it will also stop.,"The system detected the cyclist and also in the future as far as it has no functioning problem, it will stop"
